epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
1,288.281,1.91987,5.65634,0.02993,0.21663,6.4213,0.01608,0.06574,0.00706,0.00213,1.91058,5.02734,0.03566,0.19716,0,0.000331871,0.000331871,0.0671447
2,563.538,1.90055,3.83138,0.02809,0.18741,5.16878,0.07015,0.14903,0.04609,0.01845,1.95064,4.14303,0.03174,0.20916,0,0.000659717,0.000659717,0.0341392
3,837.24,1.91107,3.51175,0.02933,0.16964,4.7053,0.50566,0.11385,0.06218,0.02662,1.9433,4.76863,0.03569,0.24819,0,0.000982062,0.000982062,0.00112826
4,1110.88,1.91936,3.17429,0.02913,0.17156,4.48657,0.23099,0.17878,0.15012,0.06982,2.01452,3.53443,0.0377,0.16638,0,0.00097525,0.00097525,0.00097525
5,1384.33,1.91521,2.94717,0.02918,0.16419,4.29422,0.24918,0.22377,0.14812,0.05438,2.07986,3.94729,0.03384,0.17283,0,0.000967,0.000967,0.000967
6,1657.47,1.87129,2.86498,0.02851,0.16172,4.19772,0.26607,0.26314,0.17344,0.06518,2.0164,3.14698,0.03525,0.18103,0,0.00095875,0.00095875,0.00095875
7,1930.38,1.85967,2.66984,0.02815,0.16711,4.02816,0.26537,0.28324,0.19935,0.07771,2.04295,3.34309,0.03352,0.16909,0,0.0009505,0.0009505,0.0009505
8,2202.99,1.89079,2.56912,0.02923,0.15987,3.92669,0.20746,0.2464,0.16882,0.0642,2.05483,2.90033,0.03502,0.17041,0,0.00094225,0.00094225,0.00094225
9,2475.01,1.87946,2.41965,0.02841,0.15183,3.80384,0.26519,0.27592,0.14467,0.05891,2.06372,2.97656,0.03388,0.1658,0,0.000934,0.000934,0.000934
10,2747.04,1.80712,2.25571,0.0276,0.15755,3.68756,0.28103,0.33733,0.24019,0.11015,2.01908,2.72565,0.03402,0.14923,0,0.00092575,0.00092575,0.00092575
11,3019.47,1.83154,2.21185,0.02819,0.15096,3.71766,0.29091,0.28524,0.22122,0.10309,2.02231,2.67685,0.03591,0.17925,0,0.0009175,0.0009175,0.0009175
12,3292.16,1.7852,2.15467,0.02768,0.15174,3.72087,0.32858,0.28247,0.22508,0.10153,2.04107,3.07042,0.03385,0.19822,0,0.00090925,0.00090925,0.00090925
13,3564.72,1.74609,2.11684,0.02819,0.1453,3.59669,0.26971,0.27325,0.21517,0.08761,2.13662,3.02225,0.03608,0.16599,0,0.000901,0.000901,0.000901
14,3837.41,1.74814,2.00011,0.02863,0.14491,3.53984,0.32981,0.33386,0.27864,0.12118,2.04517,2.55572,0.03699,0.17273,0,0.00089275,0.00089275,0.00089275
15,4110.49,1.74011,1.97819,0.02766,0.14492,3.52155,0.43383,0.29184,0.26514,0.11585,2.06213,2.6628,0.03448,0.15688,0,0.0008845,0.0008845,0.0008845
16,4382.99,1.68268,1.8889,0.02616,0.13889,3.46914,0.29745,0.33597,0.22559,0.09675,2.05295,2.8093,0.03424,0.16218,0,0.00087625,0.00087625,0.00087625
17,4655.71,1.6455,1.85854,0.02722,0.13669,3.38176,0.43565,0.27993,0.29684,0.1197,2.0706,2.74307,0.03449,0.15491,0,0.000868,0.000868,0.000868
18,4927.95,1.64898,1.77945,0.02657,0.14316,3.35559,0.31092,0.42141,0.29275,0.11927,2.05857,2.82816,0.03427,0.15801,0,0.00085975,0.00085975,0.00085975
19,5200.34,1.61572,1.71236,0.02617,0.13521,3.42063,0.31688,0.32581,0.21865,0.09171,2.09987,2.7318,0.03651,0.15589,0,0.0008515,0.0008515,0.0008515
20,5472.73,1.59816,1.62195,0.02548,0.13357,3.29292,0.44068,0.33741,0.30517,0.12411,2.17046,2.65035,0.0356,0.17263,0,0.00084325,0.00084325,0.00084325
21,5745.19,1.57475,1.66073,0.02585,0.1368,3.27936,0.3207,0.34962,0.25424,0.11739,2.10441,2.75894,0.03735,0.1599,0,0.000835,0.000835,0.000835
22,6018.05,1.56575,1.57662,0.02584,0.12852,3.2645,0.29314,0.35853,0.24477,0.10344,2.1402,2.70949,0.03616,0.15752,0,0.00082675,0.00082675,0.00082675
23,6291,1.53228,1.56518,0.02592,0.12257,3.21512,0.37059,0.34266,0.29006,0.13653,2.11377,2.64702,0.03711,0.16642,0,0.0008185,0.0008185,0.0008185
24,6563.84,1.54009,1.5828,0.02662,0.12503,3.1683,0.39663,0.3698,0.31559,0.13285,2.11887,2.78739,0.03605,0.1599,0,0.00081025,0.00081025,0.00081025
25,6836.19,1.52332,1.51623,0.02635,0.11806,3.12337,0.34151,0.34762,0.28198,0.1309,2.06408,2.84891,0.03663,0.17462,0,0.000802,0.000802,0.000802
26,7108.53,1.47809,1.42822,0.02561,0.12072,3.15538,0.35396,0.36169,0.31619,0.13647,2.05214,2.8459,0.0348,0.17855,0,0.00079375,0.00079375,0.00079375
27,7380.99,1.44187,1.4112,0.02471,0.11759,3.14057,0.38253,0.31713,0.26955,0.11427,2.03768,3.02946,0.03513,0.16601,0,0.0007855,0.0007855,0.0007855
28,7653.21,1.45862,1.37332,0.02524,0.12386,3.13644,0.37705,0.34565,0.28662,0.12781,2.09357,2.82279,0.03524,0.15856,0,0.00077725,0.00077725,0.00077725
29,7925.41,1.45621,1.33695,0.02692,0.11987,3.04854,0.49043,0.30567,0.32933,0.13238,2.04675,2.7889,0.03721,0.16137,0,0.000769,0.000769,0.000769
30,8197.34,1.41247,1.34181,0.02553,0.11552,3.06112,0.39203,0.36374,0.31385,0.14411,2.10542,2.73529,0.03697,0.15851,0,0.00076075,0.00076075,0.00076075
31,8469.42,1.40931,1.30371,0.02551,0.11152,3.03893,0.40148,0.30099,0.272,0.12179,2.12667,2.79417,0.03556,0.17285,0,0.0007525,0.0007525,0.0007525
32,8741.26,1.39166,1.28065,0.02451,0.10601,3.03918,0.29197,0.32802,0.2672,0.11953,2.10556,3.05971,0.03746,0.14983,0,0.00074425,0.00074425,0.00074425
33,9013.27,1.32992,1.1919,0.02465,0.1118,2.93531,0.34687,0.38205,0.27403,0.12769,2.1853,2.95744,0.03786,0.17493,0,0.000736,0.000736,0.000736
34,9285.9,1.35227,1.21368,0.02559,0.10079,2.97535,0.42631,0.28687,0.26235,0.1203,2.13071,3.18202,0.03876,0.15429,0,0.00072775,0.00072775,0.00072775
35,9558.27,1.32994,1.18689,0.02387,0.10098,2.96052,0.36273,0.41175,0.30316,0.13845,2.05793,2.88551,0.03475,0.15248,0,0.0007195,0.0007195,0.0007195
36,9830.48,1.29908,1.19666,0.0239,0.10234,2.87218,0.36598,0.35131,0.27623,0.11957,2.21994,2.88844,0.03676,0.15704,0,0.00071125,0.00071125,0.00071125
37,10103.2,1.28209,1.16166,0.02484,0.09692,2.88058,0.36716,0.33067,0.29296,0.13895,2.15132,2.82639,0.03724,0.16838,0,0.000703,0.000703,0.000703
38,10375.5,1.31115,1.16348,0.02449,0.09774,2.83757,0.46643,0.26447,0.27206,0.12452,2.08804,3.07379,0.037,0.14898,0,0.00069475,0.00069475,0.00069475
39,10648.3,1.28738,1.15089,0.02466,0.0964,2.85689,0.4059,0.27554,0.27744,0.11953,2.22169,3.29044,0.03953,0.17087,0,0.0006865,0.0006865,0.0006865
40,10921,1.26624,1.067,0.02353,0.0946,2.85801,0.43107,0.32337,0.27627,0.11944,2.25084,3.14014,0.03851,0.17786,0,0.00067825,0.00067825,0.00067825
41,11193.2,1.26932,1.10772,0.02499,0.09027,2.84973,0.44417,0.32688,0.29923,0.13121,2.19503,3.00021,0.03999,0.17282,0,0.00067,0.00067,0.00067
42,11464.9,1.24896,1.07484,0.02319,0.09462,2.78579,0.44657,0.31336,0.27582,0.12614,2.12074,3.14275,0.035,0.15574,0,0.00066175,0.00066175,0.00066175
43,11736.9,1.2281,1.0469,0.02479,0.08945,2.77219,0.32743,0.34919,0.27653,0.12652,2.0459,3.10731,0.03838,0.18346,0,0.0006535,0.0006535,0.0006535
44,12009.4,1.21337,1.0144,0.02393,0.08848,2.7837,0.36789,0.34377,0.27335,0.11578,2.18796,3.22662,0.03826,0.1509,0,0.00064525,0.00064525,0.00064525
45,12281.4,1.22369,1.04413,0.02303,0.08708,2.80568,0.42472,0.31189,0.26888,0.11847,2.12586,3.38869,0.03539,0.16686,0,0.000637,0.000637,0.000637
46,12553.5,1.17898,1.00493,0.02324,0.08645,2.73636,0.39286,0.35758,0.29354,0.13697,2.13614,2.98179,0.03807,0.16606,0,0.00062875,0.00062875,0.00062875
47,12825.4,1.19239,0.98702,0.02347,0.08091,2.74228,0.4272,0.26914,0.24979,0.10864,2.14956,3.23032,0.03777,0.154,0,0.0006205,0.0006205,0.0006205
48,13097.5,1.17802,1.02759,0.02342,0.08026,2.74457,0.4285,0.33212,0.27929,0.12571,2.22618,3.12703,0.0371,0.1621,0,0.00061225,0.00061225,0.00061225
49,13369.5,1.19167,1.02619,0.02305,0.07851,2.73763,0.44361,0.2676,0.24342,0.11616,2.11342,3.4149,0.03728,0.15324,0,0.000604,0.000604,0.000604
50,13641.4,1.14081,0.97779,0.0236,0.07933,2.65709,0.47488,0.30604,0.29425,0.13721,2.20294,3.01953,0.03878,0.18078,0,0.00059575,0.00059575,0.00059575
